nom_entreprise,code_postal,localite,Delegation,Distance,nom_entreprise_clean
geant,8110.0,Tabarka,Jendouba,127.66077897523785,geant
geant,8110.0,Tabarka,Jendouba,127.66077897523785,geant
geant,4022.0,Hammam Sousse,Sousse,110.71586548840456,geant
geant,6100.0,Gaâfour,Siliana,92.41289580487033,geant
geant,4022.0,Hammam Sousse,Sousse,110.71586548840456,geant
geant,8090.0,Kelibia,Nabeul,73.20301868691855,geant
geant,5035.0,Sayada,Monastir,124.05982898671334,geant
geant,2016.0,Carthage Byrsa,Carthage,15.158292507532952,geant
geant,2074.0,El Mourouj,Tunis,11.494065335979839,geant
geant,8090.0,Kelibia,Nabeul,73.20301868691855,geant
geant,3140.0,Bouhajla,Kairouan,158.11504572549774,geant
geant,8090.0,Kelibia,Nabeul,73.20301868691855,geant
geant,8090.0,Kelibia,Nabeul,73.20301868691855,geant
geant,2011.0,Douar Hicher,Manouba,9.764760410410968,geant
geant,2250.0,Degache,Tozeur,365.7748932774532,geant
geant,2074.0,El Mourouj,Tunis,11.494065335979839,geant
geant,2074.0,El Mourouj,Tunis,11.494065335979839,geant
geant,4022.0,Hammam Sousse,Sousse,110.71586548840456,geant
geant,4022.0,Hammam Sousse,Sousse,110.71586548840456,geant
geant,2078.0,Sidi Daoud,La Marsa,53.86857443893082,geant
geant,6100.0,Gaâfour,Siliana,92.41289580487033,geant
Carrefour,2250.0,Degache,Tozeur,365.7748932774532,Carrefour
Carrefour,2034.0,Ezzahra,Ben Arous,13.84150895306241,Carrefour
Carrefour,2034.0,Ezzahra,Ben Arous,13.84150895306241,Carrefour
Carrefour,2040.0,Rades,Ben Arous,9.38114365490776,Carrefour
Carrefour,3021.0,Sakiet Ezzit,Sfax,225.97973382225504,Carrefour
Carrefour,8110.0,Tabarka,Jendouba,127.66077897523785,Carrefour
Carrefour,8090.0,Kelibia,Nabeul,73.20301868691855,Carrefour
Carrefour,8090.0,Kelibia,Nabeul,73.20301868691855,Carrefour
Carrefour,5035.0,Sayada,Monastir,124.05982898671334,Carrefour
Carrefour,8090.0,Kelibia,Nabeul,73.20301868691855,Carrefour
Carrefour,2034.0,Ezzahra,Ben Arous,13.84150895306241,Carrefour
Carrefour,4022.0,Hammam Sousse,Sousse,110.71586548840456,Carrefour
Carrefour,4022.0,Hammam Sousse,Sousse,110.71586548840456,Carrefour
Carrefour,6100.0,Gaâfour,Siliana,92.41289580487033,Carrefour
Carrefour,5035.0,Sayada,Monastir,124.05982898671334,Carrefour
Carrefour,8050.0,Hammamet,Nabeul,59.601008588909444,Carrefour
Carrefour,7110.0,Dahmani,Le Kef,155.0998445409728,Carrefour
Carrefour,2034.0,Ezzahra,Ben Arous,13.84150895306241,Carrefour
Carrefour,5035.0,Sayada,Monastir,124.05982898671334,Carrefour
Carrefour,6100.0,Gaâfour,Siliana,92.41289580487033,Carrefour
Carrefour,5020.0,Jemmal,Monastir,140.61951635213202,Carrefour
Carrefour,5180.0,Chebba,Mahdia,193.23694177607823,Carrefour
Carrefour,8050.0,Hammamet,Nabeul,59.601008588909444,Carrefour
Carrefour,3021.0,Sakiet Ezzit,Sfax,225.97973382225504,Carrefour
Carrefour,7110.0,Dahmani,Le Kef,155.0998445409728,Carrefour
Carrefour,4170.0,Zarzis,Médenine,376.87979595352306,Carrefour
Carrefour,2040.0,Rades,Ben Arous,9.38114365490776,Carrefour
Carrefour,5035.0,Sayada,Monastir,124.05982898671334,Carrefour
Carrefour,2250.0,Degache,Tozeur,365.7748932774532,Carrefour
Carrefour,2250.0,Degache,Tozeur,365.7748932774532,Carrefour
Carrefour,8050.0,Hammamet,Nabeul,59.601008588909444,Carrefour
Carrefour,4170.0,Zarzis,Médenine,376.87979595352306,Carrefour
Carrefour,8050.0,Hammamet,Nabeul,59.601008588909444,Carrefour
Carrefour,6100.0,Gaâfour,Siliana,92.41289580487033,Carrefour
Carrefour,2040.0,Rades,Ben Arous,9.38114365490776,Carrefour
Carrefour,2080.0,Ennasr,Ariana,5.7629667675700444,Carrefour
Carrefour,4022.0,Hammam Sousse,Sousse,110.71586548840456,Carrefour
Carrefour,5035.0,Sayada,Monastir,124.05982898671334,Carrefour
Carrefour,4060.0,Kalaâ Kebira,Sousse,96.86096159839181,Carrefour
Carrefour,8090.0,Kelibia,Nabeul,73.20301868691855,Carrefour
Carrefour,5020.0,Jemmal,Monastir,140.61951635213202,Carrefour
Carrefour,2250.0,Degache,Tozeur,365.7748932774532,Carrefour
Carrefour,6100.0,Gaâfour,Siliana,92.41289580487033,Carrefour
Carrefour,2040.0,Rades,Ben Arous,9.38114365490776,Carrefour
Carrefour,2080.0,Ennasr,Ariana,5.7629667675700444,Carrefour
Carrefour,7110.0,Dahmani,Le Kef,155.0998445409728,Carrefour
Carrefour,5180.0,Chebba,Mahdia,193.23694177607823,Carrefour
Carrefour,5180.0,Chebba,Mahdia,193.23694177607823,Carrefour
Carrefour,5180.0,Chebba,Mahdia,193.23694177607823,Carrefour
Carrefour,2040.0,Rades,Ben Arous,9.38114365490776,Carrefour
geant,8110.0,Tabarka,Jendouba,127.66077897523785,geant
geant,6100.0,Gaâfour,Siliana,92.41289580487033,geant
geant,7110.0,Dahmani,Le Kef,155.0998445409728,geant
geant,4022.0,Hammam Sousse,Sousse,110.71586548840456,geant
geant,8090.0,Kelibia,Nabeul,73.20301868691855,geant
geant,5035.0,Sayada,Monastir,124.05982898671334,geant
geant,4060.0,Kalaâ Kebira,Sousse,96.86096159839181,geant
geant,3140.0,Bouhajla,Kairouan,158.11504572549774,geant
geant,5035.0,Sayada,Monastir,124.05982898671334,geant
geant,8090.0,Kelibia,Nabeul,73.20301868691855,geant
geant,8090.0,Kelibia,Nabeul,73.20301868691855,geant
geant,2074.0,El Mourouj,Tunis,11.494065335979839,geant
geant,8110.0,Tabarka,Jendouba,127.66077897523785,geant
geant,7110.0,Dahmani,Le Kef,155.0998445409728,geant
geant,2078.0,Sidi Daoud,La Marsa,53.86857443893082,geant
geant,5180.0,Chebba,Mahdia,193.23694177607823,geant
geant,4022.0,Hammam Sousse,Sousse,110.71586548840456,geant
geant,8050.0,Hammamet,Nabeul,59.601008588909444,geant
geant,2078.0,Sidi Daoud,La Marsa,53.86857443893082,geant
geant,2011.0,Douar Hicher,Manouba,9.764760410410968,geant
geant,6100.0,Gaâfour,Siliana,92.41289580487033,geant
geant,2078.0,Sidi Daoud,La Marsa,53.86857443893082,geant
geant,4022.0,Hammam Sousse,Sousse,110.71586548840456,geant
geant,7030.0,Sejnane,Bizerte,87.78155997857819,geant
geant,7110.0,Dahmani,Le Kef,155.0998445409728,geant
geant,4022.0,Hammam Sousse,Sousse,110.71586548840456,geant
geant,6100.0,Gaâfour,Siliana,92.41289580487033,geant
geant,2034.0,Ezzahra,Ben Arous,13.84150895306241,geant
geant,8110.0,Tabarka,Jendouba,127.66077897523785,geant
Carrefour,7110.0,Dahmani,Le Kef,155.0998445409728,Carrefour
Carrefour,6100.0,Gaâfour,Siliana,92.41289580487033,Carrefour
Carrefour,7030.0,Sejnane,Bizerte,87.78155997857819,Carrefour
Carrefour,2250.0,Degache,Tozeur,365.7748932774532,Carrefour
Carrefour,2040.0,Rades,Ben Arous,9.38114365490776,Carrefour
Carrefour,8090.0,Kelibia,Nabeul,73.20301868691855,Carrefour
Carrefour,8090.0,Kelibia,Nabeul,73.20301868691855,Carrefour
Carrefour,8090.0,Kelibia,Nabeul,73.20301868691855,Carrefour
Carrefour,4170.0,Zarzis,Médenine,376.87979595352306,Carrefour
Carrefour,7110.0,Dahmani,Le Kef,155.0998445409728,Carrefour
Carrefour,8050.0,Hammamet,Nabeul,59.601008588909444,Carrefour
Carrefour,8050.0,Hammamet,Nabeul,59.601008588909444,Carrefour
Carrefour,2250.0,Degache,Tozeur,365.7748932774532,Carrefour
Carrefour,5035.0,Sayada,Monastir,124.05982898671334,Carrefour
Carrefour,4022.0,Hammam Sousse,Sousse,110.71586548840456,Carrefour
Carrefour,2074.0,El Mourouj,Tunis,11.494065335979839,Carrefour
Carrefour,2034.0,Ezzahra,Ben Arous,13.84150895306241,Carrefour
Carrefour,7030.0,Sejnane,Bizerte,87.78155997857819,Carrefour
Carrefour,2078.0,Sidi Daoud,La Marsa,53.86857443893082,Carrefour
Carrefour,3140.0,Bouhajla,Kairouan,158.11504572549774,Carrefour
Carrefour,2250.0,Degache,Tozeur,365.7748932774532,Carrefour
Carrefour,2250.0,Degache,Tozeur,365.7748932774532,Carrefour
Carrefour,8110.0,Tabarka,Jendouba,127.66077897523785,Carrefour
Carrefour,8110.0,Tabarka,Jendouba,127.66077897523785,Carrefour
Carrefour,2078.0,Sidi Daoud,La Marsa,53.86857443893082,Carrefour
Carrefour,4060.0,Kalaâ Kebira,Sousse,96.86096159839181,Carrefour
Carrefour,3140.0,Bouhajla,Kairouan,158.11504572549774,Carrefour
Carrefour,3140.0,Bouhajla,Kairouan,158.11504572549774,Carrefour
Carrefour,3140.0,Bouhajla,Kairouan,158.11504572549774,Carrefour
Carrefour,3021.0,Sakiet Ezzit,Sfax,225.97973382225504,Carrefour
Carrefour,8110.0,Tabarka,Jendouba,127.66077897523785,Carrefour
Carrefour,2034.0,Ezzahra,Ben Arous,13.84150895306241,Carrefour
Carrefour,4060.0,Kalaâ Kebira,Sousse,96.86096159839181,Carrefour
Carrefour,3140.0,Bouhajla,Kairouan,158.11504572549774,Carrefour
Carrefour,5035.0,Sayada,Monastir,124.05982898671334,Carrefour
Carrefour,4022.0,Hammam Sousse,Sousse,110.71586548840456,Carrefour
Carrefour,8050.0,Hammamet,Nabeul,59.601008588909444,Carrefour
geant,2040.0,Rades,Ben Arous,9.38114365490776,geant
geant,2034.0,Ezzahra,Ben Arous,13.84150895306241,geant
geant,4022.0,Hammam Sousse,Sousse,110.71586548840456,geant
geant,2034.0,Ezzahra,Ben Arous,13.84150895306241,geant
geant,4170.0,Zarzis,Médenine,376.87979595352306,geant
geant,2034.0,Ezzahra,Ben Arous,13.84150895306241,geant
geant,4022.0,Hammam Sousse,Sousse,110.71586548840456,geant
geant,2034.0,Ezzahra,Ben Arous,13.84150895306241,geant
geant,8090.0,Kelibia,Nabeul,73.20301868691855,geant
geant,5020.0,Jemmal,Monastir,140.61951635213202,geant
geant,5180.0,Chebba,Mahdia,193.23694177607823,geant
geant,4170.0,Zarzis,Médenine,376.87979595352306,geant
geant,5020.0,Jemmal,Monastir,140.61951635213202,geant
geant,5020.0,Jemmal,Monastir,140.61951635213202,geant
geant,6100.0,Gaâfour,Siliana,92.41289580487033,geant
geant,8050.0,Hammamet,Nabeul,59.601008588909444,geant
geant,5020.0,Jemmal,Monastir,140.61951635213202,geant
geant,4170.0,Zarzis,Médenine,376.87979595352306,geant
geant,5180.0,Chebba,Mahdia,193.23694177607823,geant
geant,2250.0,Degache,Tozeur,365.7748932774532,geant
geant,8050.0,Hammamet,Nabeul,59.601008588909444,geant
geant,2074.0,El Mourouj,Tunis,11.494065335979839,geant
geant,2250.0,Degache,Tozeur,365.7748932774532,geant
geant,2034.0,Ezzahra,Ben Arous,13.84150895306241,geant
geant,2078.0,Sidi Daoud,La Marsa,53.86857443893082,geant
geant,2016.0,Carthage Byrsa,Carthage,15.158292507532952,geant
geant,8050.0,Hammamet,Nabeul,59.601008588909444,geant
geant,3021.0,Sakiet Ezzit,Sfax,225.97973382225504,geant
geant,7110.0,Dahmani,Le Kef,155.0998445409728,geant
geant,2250.0,Degache,Tozeur,365.7748932774532,geant
geant,2016.0,Carthage Byrsa,Carthage,15.158292507532952,geant
geant,2034.0,Ezzahra,Ben Arous,13.84150895306241,geant
geant,5020.0,Jemmal,Monastir,140.61951635213202,geant
geant,2016.0,Carthage Byrsa,Carthage,15.158292507532952,geant
geant,2034.0,Ezzahra,Ben Arous,13.84150895306241,geant
geant,3140.0,Bouhajla,Kairouan,158.11504572549774,geant
geant,7030.0,Sejnane,Bizerte,87.78155997857819,geant
geant,8050.0,Hammamet,Nabeul,59.601008588909444,geant
geant,2016.0,Carthage Byrsa,Carthage,15.158292507532952,geant
geant,8090.0,Kelibia,Nabeul,73.20301868691855,geant
geant,2034.0,Ezzahra,Ben Arous,13.84150895306241,geant
geant,5020.0,Jemmal,Monastir,140.61951635213202,geant
geant,5020.0,Jemmal,Monastir,140.61951635213202,geant
geant,7110.0,Dahmani,Le Kef,155.0998445409728,geant
geant,3021.0,Sakiet Ezzit,Sfax,225.97973382225504,geant
geant,2016.0,Carthage Byrsa,Carthage,15.158292507532952,geant
geant,7030.0,Sejnane,Bizerte,87.78155997857819,geant
geant,7110.0,Dahmani,Le Kef,155.0998445409728,geant
geant,2074.0,El Mourouj,Tunis,11.494065335979839,geant
geant,3021.0,Sakiet Ezzit,Sfax,225.97973382225504,geant
geant,3140.0,Bouhajla,Kairouan,158.11504572549774,geant
geant,2078.0,Sidi Daoud,La Marsa,53.86857443893082,geant
geant,2034.0,Ezzahra,Ben Arous,13.84150895306241,geant
geant,2016.0,Carthage Byrsa,Carthage,15.158292507532952,geant
geant,2074.0,El Mourouj,Tunis,11.494065335979839,geant
geant,3021.0,Sakiet Ezzit,Sfax,225.97973382225504,geant
geant,2250.0,Degache,Tozeur,365.7748932774532,geant
Carrefour,5020.0,Jemmal,Monastir,140.61951635213202,Carrefour
Carrefour,2040.0,Rades,Ben Arous,9.38114365490776,Carrefour
Carrefour,2250.0,Degache,Tozeur,365.7748932774532,Carrefour
Carrefour,2034.0,Ezzahra,Ben Arous,13.84150895306241,Carrefour
Carrefour,2016.0,Carthage Byrsa,Carthage,15.158292507532952,Carrefour
Carrefour,3021.0,Sakiet Ezzit,Sfax,225.97973382225504,Carrefour
Carrefour,2074.0,El Mourouj,Tunis,11.494065335979839,Carrefour
Carrefour,2016.0,Carthage Byrsa,Carthage,15.158292507532952,Carrefour
Carrefour,3140.0,Bouhajla,Kairouan,158.11504572549774,Carrefour
Carrefour,7030.0,Sejnane,Bizerte,87.78155997857819,Carrefour
Carrefour,8050.0,Hammamet,Nabeul,59.601008588909444,Carrefour
Carrefour,3021.0,Sakiet Ezzit,Sfax,225.97973382225504,Carrefour
Carrefour,2078.0,Sidi Daoud,La Marsa,53.86857443893082,Carrefour
Carrefour,2016.0,Carthage Byrsa,Carthage,15.158292507532952,Carrefour
geant,2074.0,El Mourouj,Tunis,11.494065335979839,geant
geant,2011.0,Douar Hicher,Manouba,9.764760410410968,geant
geant,4060.0,Kalaâ Kebira,Sousse,96.86096159839181,geant
geant,4060.0,Kalaâ Kebira,Sousse,96.86096159839181,geant
geant,2074.0,El Mourouj,Tunis,11.494065335979839,geant
geant,3021.0,Sakiet Ezzit,Sfax,225.97973382225504,geant
geant,8050.0,Hammamet,Nabeul,59.601008588909444,geant
geant,2016.0,Carthage Byrsa,Carthage,15.158292507532952,geant
geant,2074.0,El Mourouj,Tunis,11.494065335979839,geant
geant,8110.0,Tabarka,Jendouba,127.66077897523785,geant
geant,5020.0,Jemmal,Monastir,140.61951635213202,geant
geant,2011.0,Douar Hicher,Manouba,9.764760410410968,geant
geant,2040.0,Rades,Ben Arous,9.38114365490776,geant
geant,2011.0,Douar Hicher,Manouba,9.764760410410968,geant
geant,2034.0,Ezzahra,Ben Arous,13.84150895306241,geant
geant,2078.0,Sidi Daoud,La Marsa,53.86857443893082,geant
geant,5180.0,Chebba,Mahdia,193.23694177607823,geant
geant,5035.0,Sayada,Monastir,124.05982898671334,geant
geant,2078.0,Sidi Daoud,La Marsa,53.86857443893082,geant
geant,2080.0,Ennasr,Ariana,5.7629667675700444,geant
geant,2040.0,Rades,Ben Arous,9.38114365490776,geant
geant,5020.0,Jemmal,Monastir,140.61951635213202,geant
geant,2011.0,Douar Hicher,Manouba,9.764760410410968,geant
Carrefour,2034.0,Ezzahra,Ben Arous,13.84150895306241,Carrefour
Carrefour,2016.0,Carthage Byrsa,Carthage,15.158292507532952,Carrefour
Carrefour,8090.0,Kelibia,Nabeul,73.20301868691855,Carrefour
Carrefour,7110.0,Dahmani,Le Kef,155.0998445409728,Carrefour
Carrefour,7110.0,Dahmani,Le Kef,155.0998445409728,Carrefour
Carrefour,4022.0,Hammam Sousse,Sousse,110.71586548840456,Carrefour
Carrefour,2078.0,Sidi Daoud,La Marsa,53.86857443893082,Carrefour
Carrefour,2011.0,Douar Hicher,Manouba,9.764760410410968,Carrefour
Carrefour,5035.0,Sayada,Monastir,124.05982898671334,Carrefour
Carrefour,7110.0,Dahmani,Le Kef,155.0998445409728,Carrefour
Carrefour,2078.0,Sidi Daoud,La Marsa,53.86857443893082,Carrefour
Carrefour,8110.0,Tabarka,Jendouba,127.66077897523785,Carrefour
Carrefour,5180.0,Chebba,Mahdia,193.23694177607823,Carrefour
Carrefour,2011.0,Douar Hicher,Manouba,9.764760410410968,Carrefour
Carrefour,5020.0,Jemmal,Monastir,140.61951635213202,Carrefour
Carrefour,2078.0,Sidi Daoud,La Marsa,53.86857443893082,Carrefour
Carrefour,8110.0,Tabarka,Jendouba,127.66077897523785,Carrefour
Carrefour,2011.0,Douar Hicher,Manouba,9.764760410410968,Carrefour
Carrefour,4170.0,Zarzis,Médenine,376.87979595352306,Carrefour
geant,3140.0,Bouhajla,Kairouan,158.11504572549774,geant
geant,2074.0,El Mourouj,Tunis,11.494065335979839,geant
geant,8110.0,Tabarka,Jendouba,127.66077897523785,geant
geant,8110.0,Tabarka,Jendouba,127.66077897523785,geant
geant,8090.0,Kelibia,Nabeul,73.20301868691855,geant
geant,2250.0,Degache,Tozeur,365.7748932774532,geant
geant,3140.0,Bouhajla,Kairouan,158.11504572549774,geant
geant,2074.0,El Mourouj,Tunis,11.494065335979839,geant
geant,4060.0,Kalaâ Kebira,Sousse,96.86096159839181,geant
geant,7110.0,Dahmani,Le Kef,155.0998445409728,geant
geant,7030.0,Sejnane,Bizerte,87.78155997857819,geant
geant,5020.0,Jemmal,Monastir,140.61951635213202,geant
geant,2040.0,Rades,Ben Arous,9.38114365490776,geant
geant,2250.0,Degache,Tozeur,365.7748932774532,geant
geant,8090.0,Kelibia,Nabeul,73.20301868691855,geant
geant,8090.0,Kelibia,Nabeul,73.20301868691855,geant
geant,2080.0,Ennasr,Ariana,5.7629667675700444,geant
geant,7030.0,Sejnane,Bizerte,87.78155997857819,geant
geant,3140.0,Bouhajla,Kairouan,158.11504572549774,geant
geant,5035.0,Sayada,Monastir,124.05982898671334,geant
geant,5035.0,Sayada,Monastir,124.05982898671334,geant
geant,7030.0,Sejnane,Bizerte,87.78155997857819,geant
geant,8090.0,Kelibia,Nabeul,73.20301868691855,geant
geant,2074.0,El Mourouj,Tunis,11.494065335979839,geant
geant,7110.0,Dahmani,Le Kef,155.0998445409728,geant
geant,3140.0,Bouhajla,Kairouan,158.11504572549774,geant
geant,5035.0,Sayada,Monastir,124.05982898671334,geant
geant,2040.0,Rades,Ben Arous,9.38114365490776,geant
geant,5020.0,Jemmal,Monastir,140.61951635213202,geant
geant,8090.0,Kelibia,Nabeul,73.20301868691855,geant
geant,2016.0,Carthage Byrsa,Carthage,15.158292507532952,geant
geant,7110.0,Dahmani,Le Kef,155.0998445409728,geant
geant,8110.0,Tabarka,Jendouba,127.66077897523785,geant
geant,2078.0,Sidi Daoud,La Marsa,53.86857443893082,geant
geant,5020.0,Jemmal,Monastir,140.61951635213202,geant
geant,2080.0,Ennasr,Ariana,5.7629667675700444,geant
geant,2080.0,Ennasr,Ariana,5.7629667675700444,geant
Carrefour,4060.0,Kalaâ Kebira,Sousse,96.86096159839181,Carrefour
Carrefour,2078.0,Sidi Daoud,La Marsa,53.86857443893082,Carrefour
Carrefour,2078.0,Sidi Daoud,La Marsa,53.86857443893082,Carrefour
Carrefour,7110.0,Dahmani,Le Kef,155.0998445409728,Carrefour
Carrefour,7030.0,Sejnane,Bizerte,87.78155997857819,Carrefour
Carrefour,2011.0,Douar Hicher,Manouba,9.764760410410968,Carrefour
Carrefour,4060.0,Kalaâ Kebira,Sousse,96.86096159839181,Carrefour
Carrefour,3021.0,Sakiet Ezzit,Sfax,225.97973382225504,Carrefour
Carrefour,2078.0,Sidi Daoud,La Marsa,53.86857443893082,Carrefour
Carrefour,8050.0,Hammamet,Nabeul,59.601008588909444,Carrefour
Carrefour,2040.0,Rades,Ben Arous,9.38114365490776,Carrefour
Carrefour,2080.0,Ennasr,Ariana,5.7629667675700444,Carrefour
Carrefour,5035.0,Sayada,Monastir,124.05982898671334,Carrefour
Carrefour,2080.0,Ennasr,Ariana,5.7629667675700444,Carrefour
Carrefour,3021.0,Sakiet Ezzit,Sfax,225.97973382225504,Carrefour
Carrefour,6100.0,Gaâfour,Siliana,92.41289580487033,Carrefour
Carrefour,3140.0,Bouhajla,Kairouan,158.11504572549774,Carrefour
Carrefour,6100.0,Gaâfour,Siliana,92.41289580487033,Carrefour
Carrefour,2074.0,El Mourouj,Tunis,11.494065335979839,Carrefour
geant,2080.0,Ennasr,Ariana,5.7629667675700444,geant
geant,6100.0,Gaâfour,Siliana,92.41289580487033,geant
geant,5035.0,Sayada,Monastir,124.05982898671334,geant
geant,8050.0,Hammamet,Nabeul,59.601008588909444,geant
geant,4060.0,Kalaâ Kebira,Sousse,96.86096159839181,geant
geant,7110.0,Dahmani,Le Kef,155.0998445409728,geant
geant,4170.0,Zarzis,Médenine,376.87979595352306,geant
geant,2074.0,El Mourouj,Tunis,11.494065335979839,geant
geant,4060.0,Kalaâ Kebira,Sousse,96.86096159839181,geant
geant,3021.0,Sakiet Ezzit,Sfax,225.97973382225504,geant
geant,3021.0,Sakiet Ezzit,Sfax,225.97973382225504,geant
geant,4022.0,Hammam Sousse,Sousse,110.71586548840456,geant
geant,7110.0,Dahmani,Le Kef,155.0998445409728,geant
geant,4022.0,Hammam Sousse,Sousse,110.71586548840456,geant
geant,2016.0,Carthage Byrsa,Carthage,15.158292507532952,geant
geant,4170.0,Zarzis,Médenine,376.87979595352306,geant
geant,3021.0,Sakiet Ezzit,Sfax,225.97973382225504,geant
geant,3021.0,Sakiet Ezzit,Sfax,225.97973382225504,geant
geant,2078.0,Sidi Daoud,La Marsa,53.86857443893082,geant
geant,2078.0,Sidi Daoud,La Marsa,53.86857443893082,geant
geant,8090.0,Kelibia,Nabeul,73.20301868691855,geant
geant,4170.0,Zarzis,Médenine,376.87979595352306,geant
geant,4022.0,Hammam Sousse,Sousse,110.71586548840456,geant
geant,2080.0,Ennasr,Ariana,5.7629667675700444,geant
geant,7110.0,Dahmani,Le Kef,155.0998445409728,geant
geant,4060.0,Kalaâ Kebira,Sousse,96.86096159839181,geant
geant,2040.0,Rades,Ben Arous,9.38114365490776,geant
geant,4022.0,Hammam Sousse,Sousse,110.71586548840456,geant
geant,5180.0,Chebba,Mahdia,193.23694177607823,geant
geant,5020.0,Jemmal,Monastir,140.61951635213202,geant
geant,5180.0,Chebba,Mahdia,193.23694177607823,geant
geant,4170.0,Zarzis,Médenine,376.87979595352306,geant
geant,2011.0,Douar Hicher,Manouba,9.764760410410968,geant
geant,2034.0,Ezzahra,Ben Arous,13.84150895306241,geant
geant,2034.0,Ezzahra,Ben Arous,13.84150895306241,geant
geant,2250.0,Degache,Tozeur,365.7748932774532,geant
geant,2011.0,Douar Hicher,Manouba,9.764760410410968,geant
geant,4170.0,Zarzis,Médenine,376.87979595352306,geant
geant,5180.0,Chebba,Mahdia,193.23694177607823,geant
geant,4022.0,Hammam Sousse,Sousse,110.71586548840456,geant
geant,2078.0,Sidi Daoud,La Marsa,53.86857443893082,geant
geant,2034.0,Ezzahra,Ben Arous,13.84150895306241,geant
geant,2080.0,Ennasr,Ariana,5.7629667675700444,geant
geant,2011.0,Douar Hicher,Manouba,9.764760410410968,geant
geant,4170.0,Zarzis,Médenine,376.87979595352306,geant
geant,4170.0,Zarzis,Médenine,376.87979595352306,geant
geant,4022.0,Hammam Sousse,Sousse,110.71586548840456,geant
geant,2078.0,Sidi Daoud,La Marsa,53.86857443893082,geant
geant,4022.0,Hammam Sousse,Sousse,110.71586548840456,geant
geant,3140.0,Bouhajla,Kairouan,158.11504572549774,geant
geant,2078.0,Sidi Daoud,La Marsa,53.86857443893082,geant
geant,4170.0,Zarzis,Médenine,376.87979595352306,geant
geant,6100.0,Gaâfour,Siliana,92.41289580487033,geant
geant,2250.0,Degache,Tozeur,365.7748932774532,geant
geant,2011.0,Douar Hicher,Manouba,9.764760410410968,geant
geant,2074.0,El Mourouj,Tunis,11.494065335979839,geant
geant,3140.0,Bouhajla,Kairouan,158.11504572549774,geant
